"時間戳記","請問您目前的身份是？","若您為在校生，請問您目前的年級為？","請問您在校內主要的移動方式／交通工具為何？","騎乘交通工具行經椰林大道時，您通常會選擇以下何種路線？","請問您對於以下敘述的認同程度？ [機動車輛的行駛路線經常變動，使我難以維持原有的騎乘路線]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我被迫加速]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我騎乘交通工具時感到危險]","您在椰林大道「發生車禍」的頻率？","您在椰林大道「幾乎要發生車禍，但是因閃避即時而未有事故」的頻率？","若您曾經在椰林大道上發生／即將發生過車禍，歡迎您提供當下狀況的簡短描述及改善意見：","我認為「縮減機動車的車道寬度」有助於改善交通工具騎士的安全","我認為「縮減機動車的車道寬度」有助於改善行人的安全","承上題，若您認為縮減機動車道寬度有助於改善騎士／行人安全，則您覺得以下何種方法較適當？","步行經過椰林大道時，您通常會選擇以下何種路線？","若您前一題選擇「椰子樹下的磚造人行道」以外的選項，原因是？","請問您對於以下敘述的認同程度？ [我必須要時時注意路況，才不會被自行車／機動車撞到]","請問您對於以下敘述的認同程度？ [我經常被突然竄出的自行車／機動車嚇到]","若您曾經在椰林大道與各式交通工具發生車禍，歡迎您提供當下狀況的簡短描述及改善意見：","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我看清楚路上的來車]","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我感到安心]","您對於椰林大道交通的任何想法？","您對於校內整體交通環境的任何想法？"
"2021/01/17 8:08:42 下午 GMT+8","台大教職員工","非學生","開車","③ 主線柏油路，靠中央的黃色虛線騎乘","5","5","5","幾乎不曾遇過","幾乎不曾遇過","","5","5","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","人行道路寬過小","5","5","","1","1","",""
"2021/01/17 8:13:02 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","","3","1","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道路寬過小;過馬路比較方便 而且人行道曬不到太陽","1","1","","4","4","",""
"2021/01/17 8:13:22 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","4","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","3","","5","5","對車子沒用只對腳踏車有影響的減速線可以全鏟掉",""
"2021/01/17 8:14:08 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","4","幾乎不曾遇過","幾乎不曾遇過","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","2","2","","5","5","",""
"2021/01/17 8:16:09 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","2","3","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","沒有特殊原因","3","4","","4","3","關於那個用顏色區分車道的方法，有時候校車停在那裡，腳踏車就得騎到車道中央阿，所以不太可能一直固定騎在限定顏色的範圍內",""
"2021/01/17 8:16:14 下午 GMT+8","台科大／台師大／國北教大學生","大學部二年級","步行，且幾乎不使用交通工具","","","","","","","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","5","","3","4","",""
"2021/01/17 8:18:02 下午 GMT+8","台大學生","大學部一年級","步行，偶爾使用公共交通工具","② 主線柏油路，在車道正中央騎乘","5","5","5","幾乎不曾遇過","經常（每月一次以上）","同學都併排騎車，在路中間四台慢行的自行車根本就是移動路障","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","3","3","不要併排騎車","4","4","","腳踏車該管制"
"2021/01/17 8:20:01 下午 GMT+8","台大教職員工","非學生","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","岔路處的自行車未注意椰林大道的車子硬轉彎","3","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","人行道路寬過小","5","4","","4","4","",""
"2021/01/17 8:20:33 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","4","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","3","3","","4","3","",""
"2021/01/17 8:20:42 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","2","幾乎不曾遇過","幾乎不曾遇過","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小;有時候要牽車跟朋友一起走，會太窄小，也不確定那邊是否是能牽車的。但主要還是下雨天積水太太太嚴重。","4","4","","5","5","",""
"2021/01/17 8:24:55 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","3","1","","5","4","台大輕軌蓋起來","研一舍附近設Youbike"
"2021/01/17 8:24:56 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","3","4","幾乎不曾遇過","經常（每月一次以上）","有腳踏車要左轉，然後到路口的時候才從最右邊直接看都不看就切過來","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","3","4","","2","2","","舟山路車子更快"
"2021/01/17 8:25:18 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","5","幾乎不曾遇過","經常（每月一次以上）","","2","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;但我覺得問題常常是例如腳踏車要轉彎，就勢必要騎到中間，這種時候就很可能會被車撞…","④ 椰子樹下的磚造人行道","","2","2","","4","4","",""
"2021/01/17 8:25:33 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","⑤ 緊鄰兩側建築物的磚造馬路","5","4","4","幾乎不曾遇過","幾乎不曾遇過","","2","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","人行道積水嚴重;柏油路／磚造馬路離目的地較近","4","4","","4","4","",""
"2021/01/17 8:28:41 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","柏油路／磚造馬路離目的地較近","5","3","","2","2","",""
"2021/01/17 8:32:41 下午 GMT+8","校友","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","4","幾乎不曾遇過","幾乎不曾遇過","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;車道設置減速設施","⑤ 緊鄰兩側建築物的磚造馬路","人行道路寬過小","4","3","","5","5","",""
"2021/01/17 8:32:50 下午 GMT+8","台大學生","大學部三年級","步行，且幾乎不使用交通工具","","","","","","","","3","3","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","4","5","都嘛是自以為騎公路車很帥在那裡飆或單手騎車 有點難管QQ","2","2","",""
"2021/01/17 8:33:10 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小;柏油路／磚造馬路離目的地較近","4","3","","3","3","",""
"2021/01/17 8:33:52 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","3","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","2","","3","2","","某些路段的柏油路面可以再加強一下，坑洞很多"
"2021/01/17 8:35:09 下午 GMT+8","校友","非學生","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","2","4","5","偶爾（每半年一次以上）","經常（每月一次以上）","","1","2","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","柏油路／磚造馬路離目的地較近;沒有特殊原因","4","4","","5","5","",""
"2021/01/17 8:35:12 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","3","5","幾乎不曾遇過","經常（每月一次以上）","","3","4","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","4","5","","1","1","",""
"2021/01/17 8:35:21 下午 GMT+8","校友","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","往總圖方向，對向單車距離很遠就直接切入逆向車道要左轉小福。在台大交流版和PTT上都有類似例圖","2","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","4","","2","2","",""
"2021/01/17 8:35:29 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","2","4","幾乎不曾遇過","幾乎不曾遇過","","1","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","5","5","","1","1","","應強制腳踏車裝前後燈"
"2021/01/17 8:36:53 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","2","幾乎不曾遇過","幾乎不曾遇過","","4","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","2","2","","2","2","會出車禍主要還是部分學生的騎車觀念不好",""
"2021/01/17 8:37:07 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","5","5","5","偶爾（每半年一次以上）","偶爾（每半年一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","","5","5","","5","5","",""
"2021/01/17 8:38:24 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","5","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","5","","3","3","",""
"2021/01/17 8:39:12 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","3","3","幾乎不曾遇過","幾乎不曾遇過","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","3","3","","1","2","",""
"2021/01/17 8:39:27 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","幾乎不曾遇過","幾乎不曾遇過","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","⑤ 緊鄰兩側建築物的磚造馬路","人行道路寬過小","3","4","","3","3","",""
"2021/01/17 8:41:15 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","2","2","4","偶爾（每半年一次以上）","經常（每月一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","4","5","","3","2","",""
"2021/01/17 8:41:58 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","3","3","","4","4","",""
"2021/01/17 8:44:03 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","2","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間;劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小;柏油路／磚造馬路離目的地較近","4","4","","2","1","",""
"2021/01/17 8:44:14 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","5","5","5","幾乎不曾遇過","經常（每月一次以上）","椰林大道上因為寬敞，閃避處多，機動車可能也因有測速儀而不致太飆速，所以沒有實際受過傷。但全校自行車的速度快、遇車不相讓者也大有人在，轉彎或小巷接大道時未查看路況就飆出來的也常常存在。校內自行車需要更嚴格的騎乘規範（或共識，非強硬的），也需要相對降低自行車數量＝提升步行環境，促使徒步者增加。","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小;陰暗，視野不好，路口時兩側均有車不減速往來","4","5","","4","4","","啊前面答完了。1. 自行車數量需要減少，2.自行車規範需要強化（如騎行速度、轉彎時減速、雨天不持傘或乾脆步行），3.改善校內人行環境以促使1.達成。"
"2021/01/17 8:45:44 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","2","4","偶爾（每半年一次以上）","經常（每月一次以上）","","2","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","走在柏油路上特別舒服","4","4","","4","3","",""
"2021/01/17 8:48:54 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","4","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","5","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","2","4","","2","2","",""
"2021/01/17 8:50:31 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","5","偶爾（每半年一次以上）","總是（每週一次以上）","","2","2","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","人行道積水嚴重","5","5","","2","2","",""
"2021/01/17 8:51:16 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","","3","3","","4","4","",""
"2021/01/17 8:53:03 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","3","幾乎不曾遇過","幾乎不曾遇過","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","沒有特殊原因","3","4","","4","4","",""
"2021/01/17 8:53:22 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","沒有特殊原因","5","3","","3","3","",""
"2021/01/17 8:54:59 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","3","幾乎不曾遇過","幾乎不曾遇過","","3","3","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","4","4","","5","5","",""
"2021/01/17 8:57:59 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","5","幾乎不曾遇過","幾乎不曾遇過","","1","1","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","人行道積水嚴重","5","4","","3","3","",""
"2021/01/17 8:58:29 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","1","1","2","幾乎不曾遇過","偶爾（每半年一次以上）","","1","1","無縮減","④ 椰子樹下的磚造人行道","","5","1","","2","2","",""
"2021/01/17 9:00:53 下午 GMT+8","台大學生","大學部四年級（含）以上","步行和自行車一半一半","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","1","2","幾乎不曾遇過","幾乎不曾遇過","","5","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","人行道積水嚴重","3","5","","3","2","",""
"2021/01/17 9:02:06 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","","5","4","","3","3","太多速度過快的汽車⋯⋯","總圖旁彎到舟山路那裡很多開很快討厭的汽車"
"2021/01/17 9:02:10 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","1","2","幾乎不曾遇過","幾乎不曾遇過","","1","1","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","沒有特殊原因","1","2","","1","1","",""
"2021/01/17 9:02:57 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","3","偶爾（每半年一次以上）","經常（每月一次以上）","","3","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道路寬過小","5","5","","3","4","",""
"2021/01/17 9:05:04 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","5","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","4","4","","2","2","",""
"2021/01/17 9:05:22 下午 GMT+8","台大學生","大學部三年級","步行，且幾乎不使用交通工具","","","","","","","","1","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","沒有特殊原因","4","4","","1","1","",""
"2021/01/17 9:05:58 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","幾乎不曾遇過","","4","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","沒有特殊原因","5","3","","2","1","",""
"2021/01/17 9:09:54 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","1","幾乎不曾遇過","幾乎不曾遇過","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","2","2","","5","5","",""
"2021/01/17 9:10:21 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","4","幾乎不曾遇過","幾乎不曾遇過","","1","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","4","4","","4","3","",""
"2021/01/17 9:12:31 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","柏油路／磚造馬路離目的地較近","2","3","","2","2","",""
"2021/01/17 9:13:32 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","4","3","","3","3","","小椰林道路面可以修平一點嗎"
"2021/01/17 9:14:24 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","3","幾乎不曾遇過","偶爾（每半年一次以上）","","2","1","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","3","2","","2","2","",""
"2021/01/17 9:14:36 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","經常（每月一次以上）","總是（每週一次以上）","規劃好路口支幹道關係，明確畫地線，支道車須讓車道車，如有應讓不讓而造成車禍，學校須介入處理，而非讓學生私下和解。","1","1","縮減車道無助改善騎士／行人安全;只有特許機動車(如餐廳、便利商店)才能進入台大，其他車輛一律禁止進入。檢查及妥善保養椰林大道上的監視器，如有違規行為須取締並罰款，如多次違規(超速、逼腳踏車、逼人等)，取消特許進入的權利","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小;其實上一題可以做多選，4,5我都會走","2","2","提高學生行車觀念...但並非台灣政府那一套...所以建議也沒用，你們做不到....真要說，你們需要請如花火羅等有正確交通觀念的知名youtuber來宣導，而非盲目推崇防衛性駕駛觀念，那只會是適得其反","1","1","只針對椰林大道對交通無實質幫助，因為這是台灣的社會問題，是體制問題，從問卷內容看出設計者對整體交通概念稍嫌薄弱","定再多的規矩，沒人執法、取締就沒人會管那些規矩、地線，在台大依然是交通安全的灰色地帶"
"2021/01/17 9:21:15 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","5","幾乎不曾遇過","偶爾（每半年一次以上）","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","4","4","","椰林大道相對安全，但舟山路上行人、自行車、車輛的交通狀況讓人感到危險"
