"時間戳記","請問您目前的身份是？","若您為在校生，請問您目前的年級為？","請問您在校內主要的移動方式／交通工具為何？","騎乘交通工具行經椰林大道時，您通常會選擇以下何種路線？","請問您對於以下敘述的認同程度？ [機動車輛的行駛路線經常變動，使我難以維持原有的騎乘路線]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我被迫加速]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我騎乘交通工具時感到危險]","您在椰林大道「發生車禍」的頻率？","您在椰林大道「幾乎要發生車禍，但是因閃避即時而未有事故」的頻率？","若您曾經在椰林大道上發生／即將發生過車禍，歡迎您提供當下狀況的簡短描述及改善意見：","我認為「縮減機動車的車道寬度」有助於改善交通工具騎士的安全","我認為「縮減機動車的車道寬度」有助於改善行人的安全","承上題，若您認為縮減機動車道寬度有助於改善騎士／行人安全，則您覺得以下何種方法較適當？","步行經過椰林大道時，您通常會選擇以下何種路線？","若您前一題選擇「椰子樹下的磚造人行道」以外的選項，原因是？","請問您對於以下敘述的認同程度？ [我必須要時時注意路況，才不會被自行車／機動車撞到]","請問您對於以下敘述的認同程度？ [我經常被突然竄出的自行車／機動車嚇到]","若您曾經在椰林大道與各式交通工具發生車禍，歡迎您提供當下狀況的簡短描述及改善意見：","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我看清楚路上的來車]","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我感到安心]","您對於椰林大道交通的任何想法？","您對於校內整體交通環境的任何想法？"
"2021/01/17 9:27:38 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","5","5","","4","3","",""
"2021/01/17 9:27:49 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","4","3","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","2","2","","2","3","",""
"2021/01/17 9:29:17 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","5","5","幾乎不曾遇過","總是（每週一次以上）","汽車超車沒有保持側面安全距離，膽戰心驚／行人或自行車突然衝出來以致需要時刻預判其他用路人動向，心很累","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間;劃設鋸齒型標線引導車輛減速;實體人行道往道路中央蓋出來、在幾個行人穿越數較多處劃設斑馬線引導","④ 椰子樹下的磚造人行道","人行道積水嚴重;人行道路寬過小","5","5","阿汽車就大鈑金主義自以為很了不起啊","5","5","車道蓋這麼寬根本意圖使人飆車吧？我開車的話沒開到100都覺得對不起自己了","我說那個實體人行道這麼少，怎麼約會ㄏㄚˋ"
"2021/01/17 9:29:49 下午 GMT+8","台大學生","博士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","5","幾乎不曾遇過","經常（每月一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;增加超速機動車的執法率","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","3","3","","4","4","",""
"2021/01/17 9:30:06 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","4","偶爾（每半年一次以上）","經常（每月一次以上）","我直行，對方轉彎；他不減速。相撞。","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","這裡不會有車，包含腳踏車","5","5","我走著。晚上，對方逆向，沒開燈，差點撞到我。","2","2","敢不敢不要逆向，轉彎之前敢不敢打手勢",""
"2021/01/17 9:35:35 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","1","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小;柏油路／磚造馬路離目的地較近;過馬路還要先跨過草皮","5","5","","1","1","",""
"2021/01/17 9:36:29 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","機動車輛無預警無燈號左轉。建議不開放台大練車？！","1","1","縮減車道無助改善騎士／行人安全;取締超速，我不想要在台大騎車還要兩段式左轉。","⑥ 我幾乎不會在椰林大道步行","","3","2","","5","5","",""
"2021/01/17 9:37:34 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","3","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;柏油路／磚造馬路離目的地較近","5","4","","2","2","",""
"2021/01/17 9:38:21 下午 GMT+8","台大學生","碩士班二年級（含）以上","步行，且幾乎不使用交通工具","","","","","","","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","人行道積水嚴重","4","4","","2","2","人行道一下雨就積水 到底有沒有要讓人走?","希望除了商家進貨的車輛以及垃圾車、實驗廢棄物清運貨車和中研院交通接駁車以外的動力車輛尤其私人轎車和計程車應比照機車禁止進入校園，汽車不是輪椅，好手好腳可以走路，在校園開什麼車"
"2021/01/17 9:48:46 下午 GMT+8","台科大／台師大／國北教大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","3","3","幾乎不曾遇過","幾乎不曾遇過","","3","3","劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","人行道積水嚴重","3","3","","2","2","學生使用單車時，嚴重缺乏偏移、變換車道時需查看後方的觀念。",""
"2021/01/17 9:48:59 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","4","4","幾乎不曾遇過","幾乎不曾遇過","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","2","2","",""
"2021/01/17 9:49:44 下午 GMT+8","台科大／台師大／國北教大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","3","幾乎不曾遇過","偶爾（每半年一次以上）","","4","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","2","2","","1","1","",""
"2021/01/17 9:52:28 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","5","4","幾乎不曾遇過","偶爾（每半年一次以上）","有人逆向或突然從內側車道往外轉向","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小;柏油路比較好走","4","3","","4","4","","長興基隆路口到進學校的岔路口在尖峰時段皆十分危險，容易發生車禍"
"2021/01/17 9:52:37 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","5","幾乎不曾遇過","經常（每月一次以上）","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","5","","1","1","常常會被後方來車的車聲嚇到，都要轉頭看車會往哪個方向走，會不會撞到我等等。有的車輛行車速度太快。",""
"2021/01/17 9:57:01 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","5","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","3","4","","2","2","",""
"2021/01/17 9:57:12 下午 GMT+8","台大學生","碩士班二年級（含）以上","電動平衡車／滑板車","⑥ 我幾乎不會在椰林大道騎乘交通工具","1","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","前車未確認後方狀況就逕自左轉","4","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","人行道積水嚴重","5","5","","4","2","",""
"2021/01/17 10:00:28 下午 GMT+8","台大學生","博士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","2","5","幾乎不曾遇過","幾乎不曾遇過","","5","1","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小;怕椰子樹葉掉下來砸到我","2","2","","1","1","",""
"2021/01/17 10:01:32 下午 GMT+8","台大學生","大學部三年級","步行，且幾乎不使用交通工具","","","","","","","","2","2","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","","3","3","","2","1","",""
"2021/01/17 10:06:19 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","2","幾乎不曾遇過","幾乎不曾遇過","","4","4","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","4","3","","4","4","",""
"2021/01/17 10:09:12 下午 GMT+8","週邊居民","非學生","步行，且幾乎不使用交通工具","","","","","","","","1","1","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","沒有特殊原因","1","1","","1","1","",""
"2021/01/17 10:09:27 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","3","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","","5","3","","4","4","",""
"2021/01/17 10:09:39 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","沒有特殊原因","4","4","","4","4","",""
"2021/01/17 10:17:09 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","","1","1","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","人行道積水嚴重","5","4","","5","5","大型車仍有速度過快問題",""
"2021/01/17 10:19:05 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","2","3","幾乎不曾遇過","偶爾（每半年一次以上）","","2","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","柏油路／磚造馬路離目的地較近","5","3","","2","2","",""
"2021/01/17 10:24:49 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","5","偶爾（每半年一次以上）","總是（每週一次以上）","","3","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","沒有特殊原因;S","3","4","","2","1","叫車子開慢一點 燈亮一點","燈太暗了晚上好可愛"
"2021/01/17 10:27:49 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","劃設鋸齒型標線引導車輛減速;限制機動車輛進入校園","① ② ③ 主線柏油路","","4","5","","5","4","機動車輛過多且普遍超速(估計時速大於30占比達4成)，期望嚴格限制數量及速率，以策安全","1.機動車輛過多、大量卸貨違規臨停 2.大部分同學未了解自行車交通法規(支道未停讓、違規右側超車、慢車靠左…) 3.停車時常硬擠入停車格甚至超過1/2車身在車格外側
改善方式分別如下
1.同椰林大道改善方式 2.加強宣導 3.超出車格即拖吊、增加停車區"
"2021/01/17 10:40:34 下午 GMT+8","週邊居民","非學生","步行，且幾乎不使用交通工具","","","","","","","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","柏油路／磚造馬路離目的地較近","3","2","","3","3","",""
"2021/01/17 10:46:22 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","5","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","3","","5","4","",""
"2021/01/17 10:50:34 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","經常（每月一次以上）","","2","2","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","人行道路寬過小;柏油路／磚造馬路離目的地較近","4","3","","2","2","",""
"2021/01/17 10:54:20 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","柏油路／磚造馬路離目的地較近","3","2","","4","4","",""
"2021/01/17 10:56:59 下午 GMT+8","台科大／台師大／國北教大學生","大學部三年級","步行，且幾乎不使用交通工具","","","","","","","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","人行道積水嚴重;柏油路／磚造馬路離目的地較近","5","5","","1","2","",""
"2021/01/17 10:59:07 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","經常（每月一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;1利用景觀手法（加種喬木灌木），分隔車道，增加視線阻礙，使車輛被迫減速。2重新設計非周線性道路，或中央設計分隔島","④ 椰子樹下的磚造人行道","","5","4","","4","4","學生會可敦促校方重視關於椰林大道路權設計",""
"2021/01/17 11:11:41 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","4","幾乎不曾遇過","幾乎不曾遇過","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","3","","2","2","",""
"2021/01/17 11:15:27 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","2","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","4","","3","3","還好","腳踏車都亂騎很怕撞到我"
"2021/01/17 11:22:49 下午 GMT+8","台大學生","大學部三年級","步行，且幾乎不使用交通工具","","","","","","","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","4","4","","2","2","人行道積水真的有夠嚴重ㄉ 好生氣
我想走人行道的時候都會因為積水所以不得不選擇柏油路
有夠危險",""
"2021/01/17 11:25:29 下午 GMT+8","台大學生","碩士班二年級（含）以上","步行，且幾乎不使用交通工具","","","","","","","","5","5","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","4","2","智商與視力需檢查","2","2","台灣大學店素質，柯學交通的落實","用路人請先通過智力測驗"
"2021/01/17 11:29:03 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","3","幾乎不曾遇過","偶爾（每半年一次以上）","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","","4","3","","4","4","",""
"2021/01/17 11:30:58 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","2","4","偶爾（每半年一次以上）","總是（每週一次以上）","我往公館方向，要左轉到共同，跟要往總圖的同學相撞，我的車龍頭歪掉，其他還好","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","他是人行道","2","2","","2","2","",""
"2021/01/17 11:56:35 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","1","幾乎不曾遇過","幾乎不曾遇過","","1","1","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","人行道積水嚴重","1","1","","5","5","一堆騎腳踏車的機掰人從巷子裏衝出來都不讓直行腳踏車","停車位不夠啦"
"2021/01/18 12:07:35 上午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","有些車真的開很快","1","1","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","人行道路寬過小","4","4","","5","5","",""
"2021/01/18 12:08:45 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","3","幾乎不曾遇過","幾乎不曾遇過","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","3","","1","1","",""
"2021/01/18 12:09:02 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","5","5","幾乎不曾遇過","經常（每月一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","人行道積水嚴重;人行道路寬過小","5","5","","5","5","",""
"2021/01/18 12:15:29 上午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","5","偶爾（每半年一次以上）","幾乎不曾遇過","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","2","3","",""
"2021/01/18 12:26:39 上午 GMT+8","週邊居民","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","效仿荷蘭，整個改成紅磚色鋪面，表示校內是行人與自行車的主場，機動車輛為客體","⑤ 緊鄰兩側建築物的磚造馬路","","3","2","","2","2","","舟山路的機動車輛時常於路口處超越自行車，甚至超越自行車時都沒有再看對向有沒有自行車。建議於舟山路中間擺設整排花盆，要求機動車輛不準超越自行車，並且處罰貼自行車太近的機動車輛。"
"2021/01/18 12:27:34 上午 GMT+8","校友","非學生","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","5","幾乎不曾遇過","幾乎不曾遇過","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;直接拓寬人行道，用實體阻隔或路緣的高低差區隔行人與車輛","⑤ 緊鄰兩側建築物的磚造馬路","","5","4","","3","2","我認為校方應重新思考椰林大道的定位，是服務車輛的大道，還是服務行人與自行車的大道？","校內的交通量以行人及自行車為大宗，道路的空間配置卻以車輛為重，相當不正義。人行道不夠平坦、不夠完整、不夠連貫，整體而言友善程度必須加強。"
"2021/01/18 12:29:18 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","4","幾乎不曾遇過","經常（每月一次以上）","","4","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","人行道積水嚴重;沒有特殊原因","4","3","","4","3","",""
"2021/01/18 12:29:45 上午 GMT+8","台大學生","大學部三年級","滑板","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","呃 直行車先行 轉彎左右看 其實車禍就不會發生 腳踏車騎車訓練可能真的有需要⋯？","2","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","2","1","","5","5","很棒！",""
"2021/01/18 12:33:35 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","3","幾乎不曾遇過","幾乎不曾遇過","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","2","2","","3","2","",""
"2021/01/18 12:35:49 上午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","總是（每週一次以上）","","2","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","5","4","","1","1","",""
"2021/01/18 12:41:15 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","4","幾乎不曾遇過","幾乎不曾遇過","","4","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","沒有特殊原因","4","4","","4","4","",""
"2021/01/18 12:47:07 上午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","5","5","5","偶爾（每半年一次以上）","經常（每月一次以上）","","5","5","禁行汽車","① ② ③ 主線柏油路","","3","3","","4","4","禁行汽車","全校禁行汽車"
"2021/01/18 12:48:23 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","1","1","幾乎不曾遇過","幾乎不曾遇過","","3","1","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","沒有特殊原因","3","4","","2","4","常有自行車逆向",""
"2021/01/18 12:49:09 上午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","3","5","偶爾（每半年一次以上）","總是（每週一次以上）","媽的垃圾四輪爺開車都橫著飆的/校外三寶騎ubike橫行、亂停車擋路/一群行人並排擋路","2","2","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小;柏油路／磚造馬路離目的地較近","4","4","","5","5","",""
"2021/01/18 1:09:57 上午 GMT+8","校友","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","3","不同鋪面/立體區隔","④ 椰子樹下的磚造人行道","","2","3","","2","3","",""
"2021/01/18 1:13:28 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","偶爾（每半年一次以上）","經常（每月一次以上）","差點被椰子樹本身壓到算嗎","2","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小;柏油路／磚造馬路離目的地較近","5","5","","3","2","",""
"2021/01/18 1:17:16 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","偶爾（每半年一次以上）","偶爾（每半年一次以上）","汽車（計程車）在椰林大道末端處（靠近總圖）不顧有無其他車輛硬要直行，不禮讓較小型的腳踏車，覺得非常霸道，若沒緊急煞車會直接撞上。","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速;增設腳踏車道，中間隔安全導以確保機動車輛不會越線，只區分顏色會違規的還是會違規。","④ 椰子樹下的磚造人行道","","1","5","","1","1","","新月台，網球場那邊的道路在晚上12點以後會整個變很黑，完全沒有路燈照明，覺得那段路比椰林大道更加危險，特別是對於半夜2、3點才回家的學生而言。"
"2021/01/18 1:20:44 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","4","幾乎不曾遇過","經常（每月一次以上）","","5","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","","3","2","","1","3","",""
